state,district,avg_UIS,avg_RIS,avg_BSS,avg_TSD,months
Andaman & Nicobar Islands,Andamans,0.0034534178988509428,0.12967397728616828,0.7269995578128213,5.848496290436093e-17,7
Andaman & Nicobar Islands,Nicobars,0.0,0.0,0.0,0.0,1
Andaman & Nicobar Islands,South Andaman,0.00029290992190907143,0.0615005877784855,0.5743348756506651,0.0,7
Andaman And Nicobar Islands,Nicobar,0.0006668357397592111,0.13729622220621818,0.830346631668497,8.018277400070575e-17,9
Andaman And Nicobar Islands,North And Middle Andaman,0.00509312585186762,0.13935286861528476,0.7892698807825241,4.163336342344337e-18,10
Andaman And Nicobar Islands,South Andaman,0.005850848057122899,0.13450693154205925,0.7058257254199796,2.523234146875356e-18,11
Andhra Pradesh,Adilabad,0.0030720016998018306,0.12332439328232672,0.6009130519970307,-8.540177112501205e-18,13
Andhra Pradesh,Alluri Sitharama Raju,0.0035341301403139613,0.13594046983492175,0.5143582862534551,-1.814787636406506e-17,13
Andhra Pradesh,Anakapalli,0.0019353584943748083,0.12838101112832098,0.29229293681643626,3.23815048849004e-17,12
Andhra Pradesh,Anantapur,0.003004612781838123,0.13376342550883272,0.4075259883880612,7.899663829063614e-17,13
Andhra Pradesh,Ananthapur,0.0077045700273549,0.1442955304804088,0.4869515915566807,9.607699251563854e-18,13
Andhra Pradesh,Ananthapuramu,0.0068842155290883,0.14594412866551093,0.4872221681253232,4.270088556250602e-18,13
Andhra Pradesh,Annamayya,0.004348933902454692,0.13353111867569786,0.22461917270047002,3.469446951953614e-17,12
Andhra Pradesh,Bapatla,0.0026834190254244003,0.12752492627340817,0.21230155461174996,2.348548705937831e-17,13
Andhra Pradesh,Chittoor,0.0049403906012980845,0.1412611321951718,0.4263094894461521,2.455300919844096e-17,13
Andhra Pradesh,Cuddapah,0.004290351302488399,0.13986927647529251,0.45075909819229537,6.084876192657109e-17,13
Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,0.002410158075977569,0.12332836840736569,0.2566377867516373,-1.708035422500241e-17,13
Andhra Pradesh,East Godavari,0.0052175413733331075,0.1407223662924429,0.4805987106006426,1.708035422500241e-17,13
Andhra Pradesh,Eluru,0.00518244369132655,0.12212574036375241,0.2920708563489344,0.0,12
Andhra Pradesh,Guntur,0.005127243479332985,0.1419416104147112,0.4405367799511905,2.455300919844096e-17,13
Andhra Pradesh,Hyderabad,0.0025172852718728235,0.13556702812297142,0.6383312867058353,1.5479071016408433e-17,13
Andhra Pradesh,K.V. Rangareddy,0.0009531853800490334,0.0943077575131626,0.8550358438376356,-3.700743415417188e-17,3
Andhra Pradesh,K.V.Rangareddy,0.0004187322342763202,0.06789798587674753,0.6261778914464337,0.0,10
Andhra Pradesh,Kakinada,0.0026284621420556383,0.129887288628978,0.2146456907694654,6.4051328343759035e-18,13
Andhra Pradesh,Karim Nagar,0.0017481480439428092,0.11388949568097569,0.5766360829906348,9.083642928751281e-17,11
Andhra Pradesh,Karimnagar,0.0019057023679178615,0.11822991198743199,0.6044727420822869,-8.540177112501205e-18,13
Andhra Pradesh,Khammam,0.0030306224111134846,0.12529098968670893,0.45012395690342777,-4.270088556250602e-18,13
Andhra Pradesh,Krishna,0.005200584786358899,0.13976603247367606,0.5153589062712846,1.708035422500241e-17,13
Andhra Pradesh,Kurnool,0.0042308257956354765,0.14462108247267796,0.5360770308358559,4.270088556250602e-18,13
Andhra Pradesh,Mahabub Nagar,0.0006378289979453231,0.0812625528971345,0.5960888649885109,1.3664283380001927e-16,13
Andhra Pradesh,Mahabubnagar,0.00021277418855660107,0.04762953129583793,0.3007246376811594,-7.401486830834377e-17,3
Andhra Pradesh,Mahbubnagar,0.0016524303845427916,0.12004612223787213,0.5975739550370757,3.700743415417188e-17,12
Andhra Pradesh,Medak,0.0019100233496696583,0.12112895560936641,0.6543303152868204,-9.25185853854297e-18,12
Andhra Pradesh,N. T. R,0.004713020336527738,0.1285534382980473,0.2547658735073289,2.9890619893754213e-17,13
Andhra Pradesh,Nalgonda,0.0028176502881202916,0.11434007130144382,0.5525964839031172,1.0177044392397268e-16,12
Andhra Pradesh,Nandyal,0.0024434047992228087,0.13677749735789219,0.29431518060829825,3.642919299551295e-17,12
Andhra Pradesh,Nellore,0.0032036796004468,0.1406126960247418,0.4928206989459809,5.177482374453855e-17,13
Andhra Pradesh,Nizamabad,0.0024751151537397544,0.12513571436924972,0.6517632170371302,-5.2987917084382473e-17,11
Andhra Pradesh,Palnadu,0.002699347047763917,0.13281497614723775,0.26651441683762683,9.25185853854297e-18,12
Andhra Pradesh,Parvathipuram Manyam,0.005807537497843546,0.13697659073907276,0.4150411609383639,1.4945309946877107e-17,13
Andhra Pradesh,Prakasam,0.0018353921858489386,0.13934005229085747,0.4304235920258568,-1.3344026738283132e-19,13
Andhra Pradesh,Rangareddi,0.0033570449901536917,0.13354622447456957,0.6396507266727718,-2.3129646346357427e-18,12
Andhra Pradesh,Spsr Nellore,0.0,0.0,0.0,0.0,2
Andhra Pradesh,Sri Potti Sriramulu Nellore,0.0012915511326678077,0.12606863185351577,0.23060790107097906,5.124106267500723e-17,13
Andhra Pradesh,Sri Sathya Sai,0.003129138534228977,0.12909159124332129,0.23121932589654576,2.1350442781253012e-17,13
Andhra Pradesh,Srikakulam,0.00603674245522003,0.14149197556081666,0.4559979821194676,1.6546593155471083e-17,13
Andhra Pradesh,Tirupati,0.002719715479309354,0.13265080026851758,0.2197532935829167,-1.2810265668751807e-17,13
Andhra Pradesh,Visakhapatanam,0.0,0.0,0.0,0.0,1
